#Tue, 20 Aug 2024 21:12:38 GMT
#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','000000','HPH 304CZ-17','OK-7777','KN','Y','Y'
'O','000001','Drone/UAV','aerobot','','Y','Y'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y'
'F','000010','Unknown','D-EEAC','AC','Y','Y'
'F','000011','Skylane Airlony','D-MTEW','EW','Y','Y'
'F','000013','PA-28','D-EZIP','IP','Y','Y'
'O','000015','Paraglider','36445','','Y','Y'
'F','000037','','','','Y','N'
'F','000040','Paraglider','','','Y','Y'
'F','000063','','','','Y','N'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y'
'O','000111','Parachute','I---AM','AM','Y','Y'
'O','000112','Motorplane','','','Y','Y'
'F','000114','','','','N','N'
'O','000115','Ultralight','D-MDAJ','','Y','Y'
'F','000150','Ultralight','D-MSKX','','Y','Y'
'F','000176','Balloon','MCH-1','','Y','Y'
'F','000195','Drone/UAV','AIRTEC','ATS','Y','Y'
'F','000203','Drone/UAV','SRZ2000','','Y','Y'
'F','000207','Drone/UAV','SRZ1000','','Y','Y'
'F','000215','Drone/UAV','AIRTEC','ATS','Y','Y'
'F','000229','Ventus 2t','OY-XPH','RA','Y','Y'
'F','000233','Drone/UAV','AIRTEC','ATS','Y','Y'
'F','000246','Apis 2','S5-NBQ','BQ','Y','Y'
'F','000256','ASK-16','D-KGOR','OR','Y','Y'
'F','000262','SZD-59 Acro','D-8059','8E','Y','Y'
'O','000284','Paraglider','','','Y','Y'
'F','000296','Unknown','D-IEST','','Y','Y'
'F','000317','Discus','OY-XOK','X9','Y','Y'
'F','000333','ASG-29','N229CW','S2H','Y','Y'
'F','000338','Unknown','','','Y','Y'
'F','000339','Arcus M','D-KKKY','C','Y','Y'
'O','000343','Paraglider','Thomas','','Y','Y'
'F','000350','ASG-29','N29XD','XD','Y','Y'
'F','000368','PIK-20 B','C-GORE','GP','Y','Y'
'F','000414','Paraglider','','','Y','Y'
'F','000423','Discus','N18MG','2','Y','Y'
'F','000451','ASG-29','N232FG','FG','Y','Y'
'F','000468','DG-808 B','N818MB','XI','Y','Y'
'F','000477','ASW-27','N273SP','TR','Y','Y'
'F','000503','SZD-48-1 Jantar Std 2','SP-3152','DG','Y','Y'
'F','000514','','','','Y','N'
'O','000555','Drone/UAV','CSKYFLY','73','Y','Y'
'F','000597','LS-6','D-8997','IV','Y','Y'
'F','000617','ASW-20','OE-5292','A2','Y','Y'
'F','000643','DJI Mavic','','','Y','Y'
'F','000654','Apis 2','G CJDL','DL','Y','Y'
'F','000673','Ventus ct','G-CFMN','FMN','Y','Y'
'F','000683','Glasflugel 304S','N468TJ','96S','Y','Y'
'F','000684','Ultralight','D-MEMO','','Y','Y'
'F','000689','HPH 304C','N304GT','1M','Y','Y'
'F','0006A7','ASW-19','VH-LLU','','Y','Y'
'F','000716','Arcus M','D-KZPP','PP','Y','Y'
'F','000756','Discus 2cFES','N1235','D3','Y','Y'
'O','000780','','','','N','N'
'F','000835','AC-4','C-GXYU','','Y','Y'
'O','000840','','','','Y','N'
'F','000853','SZD-55','C-fsho','KS','Y','Y'
'O','000871','Paraglider','D-NDII','','Y','Y'
'O','000888','Paraglider','52143','','Y','Y'
'F','000898','DG-300','N300VK','VK','Y','Y'
'F','000909','ASW-20','VH-GVN','VN','Y','Y'
'F','000929','Mosquito','GSZ','','Y','Y'
'F','000933','Ventus 2bx','N106DE','93','Y','Y'
'F','000935','ASH-25 MI','HB-2393','RM','Y','Y'
'F','000958','SZD-55','C-GOED','TJ','Y','Y'
'F','000962','UFO','N859GS','ZK','Y','Y'
'F','000963','Libelle Std','N826','826','Y','Y'
'F','000967','Paraglider','38693','','Y','Y'
'F','001030','ASW-19','D-6985','KHM','Y','Y'
'F','001043','Ventus ct','HB-2206','LO','Y','Y'
'F','001233','Unknown','G-EEBE','','Y','Y'
'F','001234','SZD-48 Jantar Std 2','ZK-GML','','Y','Y'
'F','001247','SZD-48-1 Jantar Std 2','SP-3212','B3','Y','Y'
'F','001254','Scottish Aviation Bulldog','HA-TVB','','Y','Y'
'F','001310','Paraglider','eljinet','001','Y','Y'
'F','001318','Paraglider','etienne','...','Y','Y'
'F','001352','Motorplane','HBEHS','','Y','Y'
'F','001446','Unknown','SP- ...','Z-1','Y','Y'
'F','001456','JS-3 18M RES','N111WR','WR','Y','Y'
'F','001486','Cirrus','G-CKBT','633','Y','Y'
'F','001502','','','','Y','N'
'F','001548','JS-3 18M RES','N88BY','UP','Y','Y'
'O','001549','Paraglider','36445','','Y','Y'
'F','001571','Mooney','DENWU','','Y','Y'
'F','001607','ASW-20','C-GBTZ','TZ','Y','Y'
'F','001652','','','','Y','N'
'O','001661','Paraglider','','','Y','Y'
'O','001670','Motorplane','','','Y','Y'
'F','001694','Ka-6 cr','G-DDYC','','Y','Y'
'F','0016D3','Paraglider','RoberDT','','Y','Y'
'F','001746','Paraglider','ChrisD','','Y','Y'
'F','001747','ASW-17','F-CAJO','A53','Y','Y'
'F','001848','Unknown','SP-....','Z-2','Y','Y'
'F','001851','Ventus 2','D-8166','C','Y','Y'
'F','001863','DG-303','D-3580','PG','Y','Y'
'F','001887','Paraglider','Kai.G.','KGL','Y','Y'
'F','001E3F','Rallye 180T-D','D-EEUP','UP','Y','Y'
'F','002012','Paraglider','CH48475','HrL','Y','Y'
'F','002047','Flight Design CTSW','G-RILA','','Y','Y'
'F','002250','DG-600','D-KHPE','','Y','Y'
'O','002371','Paraglider','42406','','Y','Y'
'F','002419','ASW-24','N416EG','GG','Y','Y'
'O','002427','Paraglider','10776','','Y','Y'
'F','002444','LS-1 d','D-0685','12','Y','Y'
'F','002446','','','','N','Y'
'F','002489','LAK 19','VHLAQ','','Y','Y'
'F','002531','Paraglider','','','Y','Y'
'O','002545','Stemme S-10','D-KBRE','','Y','Y'
'F','002709','Unknown','','CN3','Y','Y'
'F','002710','Unknown','','CN9','Y','Y'
'F','002711','Unknown','','CN5','Y','Y'
'F','002712','Unknown','','CN7','Y','Y'
'F','002713','Unknown','','CN8','Y','Y'
'F','002714','Unknown','','CN1','Y','Y'
'F','002715','Unknown','','CN1','Y','Y'
'F','002716','Unknown','','CN2','Y','Y'
'F','002718','Unknown','','CN4','Y','Y'
'F','002720','LS-8a','D-4735','ET','Y','Y'
'F','002735','Unknown','','CN6','Y','Y'
'F','002755','ASH-31 MI','VH-SUO','IT','Y','Y'
'F','002765','','','','N','N'
'F','002787','','','','N','N'
'F','002795','Paraglider','nige p','','Y','Y'
'F','002814','','','','N','N'
'F','002858','DG-500','F-CMAE','','Y','Y'
'F','002906','Paraglider','22963','','Y','Y'
'F','002999','Paraglider','38032','','Y','Y'
'O','002B76','Zlin 142','OM-NNQ1','NNQ','Y','Y'
'F','003022','Arcus M','D-KRKA','ARK','Y','Y'
'F','003033','Libelle Club','VH-GJF','GJF','Y','Y'
'F','003230','Carat','N7719C','99','Y','Y'
'F','003245','Stemme S-10','VH-XVT','XVT','Y','Y'
'F','003333','ASG-29E','D-KKRZ','RZ','Y','Y'
'F','003383','ASH-31 MI','D-KCHD','HD','Y','Y'
'F','003390','Discus','N88MW','UN','Y','Y'
'F','003665','Paraglider','110CE9','BIR','Y','Y'
'F','003690','ASG-32 MI','VH-IFA','3W','Y','Y'
'F','003733','Nimbus 3','VH-ZBV','BV','Y','Y'
'F','003751','DG-808 C','D-KKCB','CB','Y','Y'
'F','003812','HangGlider','','','Y','Y'
'F','003854','Duo Discus xlt','G-CKRO','KRO','Y','Y'
'F','003974','PIK-20 D','C-GFOP','OP','Y','Y'
'F','003B7D','ASW-20','D-3081','DH','Y','Y'
'F','003EB8','DG-800','D-KNKJ','DG','Y','Y'
'F','004014','Paraglider','','','Y','Y'
'F','004152','ASG-32 MI','D-KFFP','72','Y','Y'
'F','004172','Paraglider','D-MXDB','','Y','Y'
'F','004176','Paraglider','','','Y','Y'
'F','004193','Stemme S-10','D-KCUM','','Y','Y'
'F','004202','Arcus M','D-KBZE','2B','Y','Y'
'F','0042F9','Discus 2','D-5480','BW2','Y','Y'
'F','004335','','','','N','N'
'F','004389','ASH-31 MI','N527DR','7DR','Y','Y'
'F','004462','Ventus 2bx','N98AE','BDE','Y','Y'
'F','004519','Kestrel','C-FFKQ','42','Y','Y'
'F','004604','Ventus 2','D-6965','','Y','Y'
'I','004641','','','','N','N'
'F','004701','','','','N','N'
'F','004702','','','','N','N'
'F','004707','Pegase','G-CLZF','LZF','Y','Y'
'F','004811','ASG-29','ZS-OKW','133','Y','Y'
'F','004839','Duo Discus','F-CPHI','A2','Y','Y'
'I','004848','Ultralight','4848','','Y','Y'
'F','004858','Ventus 2ct','PH1308','NU','Y','Y'
'F','004925','ASW-19','C-GBYR','DX','Y','Y'
'F','004990','Astir CS','G-CFHW','FHW','Y','Y'
'F','004997','ASH-31 MI','N517PB','7PB','Y','Y'
'F','004D37','ASG-29','D-7429','9','Y','Y'
'O','004F0F','L-Spatz 55','LY-GJH','AK','Y','Y'
'F','005071','LS-4','G-DEOA','PL','Y','Y'
'F','005196','JS-1 C21','N213DT','DT','Y','Y'
'F','005255','Duo Discus xlt','D-KKSV','SV','Y','Y'
'F','005262','JS-3 18M RES','F CAJH','','Y','Y'
'O','00527C','Motorglider','86_20','','Y','Y'
'F','005381','LS-3','D-6933','BY','Y','Y'
'F','005400','DR-300','F-BSPS','','Y','Y'
'F','005454','Slingsby Skylark 3F','BHT','','Y','Y'
'F','005501','Libelle Club','G-DDMS','259','Y','Y'
'F','005517','FK9 Mark 2','D-MRFK','','Y','Y'
'I','005523','DV20 Katana','ZS-SNM','SNM','Y','Y'
'F','005533','FK14','D-MKAO','','Y','Y'
'F','005610','MDM-1 Fox','OE-5610','FOX','Y','Y'
'F','005693','Pegase','F-CHKL','KL','Y','Y'
'O','00582E','Towplane','LKVP-T1','TP1','Y','Y'
'F','006034','Astir CS','EC-FMF','VH','Y','Y'
'O','006179','Cessna 152','HA-BAT','BAT','Y','Y'
'F','006203','','','','N','N'
'O','006266','Cirrus Std','G-CHNM','133','Y','Y'
'F','006313','ASH-25 MI','D-KMHG','HG','Y','Y'
'F','006395','Mosquito','PH-1143','6X','Y','Y'
'F','006471','Libelle Std','G-DCRS','MK2','Y','Y'
'F','006514','SZD-51 Junior','G-CKPN','KPN','Y','Y'
'F','006569','Discus 2','D-6322','HUN','Y','Y'
'O','006704','','','','N','N'
'I','006789','DV20 Katana','ZS-DMN','DMN','Y','Y'
'O','006A86','PA-28','OY-BGS','','Y','Y'
'O','006E06','Balloon','HA-9010','261','Y','Y'
'F','007392','Jodel DR-1050','F-PZBY','','Y','Y'
'F','007462','Cirrus Std','OK-0103','2X','Y','Y'
'O','007A9A','','','','Y','N'
'F','0081E2','JS-1 B Revelation','ZS-GCE','B5','Y','Y'
'F','008260','Paraglider','','','Y','Y'
'I','0085D1','JS-1 C21','ZS-GBR','ZB','Y','Y'
'F','0087BB','Ventus 2cM','ZS-CXM','MB','Y','Y'
'I','0089F0','PA-28','ZS-PXN','PXN','Y','Y'
'F','008ED7','LS-3','PH-611','RJ','Y','Y'
'F','00901A','JS-1 C21','ZS-GBX','BJ','Y','Y'
'F','009025','JS-1 B Revelation','ZS-GCI','JS','Y','Y'
'F','009049','Twin Astir I','D-7781','TC','Y','Y'
'F','0090C4','JS-1 C21','ZS-GIL','LI','Y','Y'
'F','009181','Nimbus 4DT','D-KTMT','ZY','Y','Y'
'F','0091C7','JS-1 C21','ZS-GSK','VV','Y','Y'
'F','0091F1','Ventus 2ct','D-KAZP','PJ','Y','Y'
'I','0091FA','DG-500','ZS-GUJ','','Y','Y'
'I','009282','DG-400','inReach','iZP','Y','Y'
'O','009445','VSO-10','OK-1516','B1','Y','Y'
'F','009460','SZD-41 Jantar Std','HA-4403','J','Y','Y'
'I','0095DF','DG-808 B','ZT-GAE','YH','Y','Y'
'F','0096FB','','','','Y','N'
'I','009841','Drone/UAV','SUI9841','','Y','Y'
'I','009843','Drone/UAV','Matter','MNT','Y','Y'
'I','009844','Drone/UAV','Matter','MNT','Y','Y'
'I','009845','Drone/UAV','Matter','MNT','Y','Y'
'F','009894','Eurostar EV97','OH-U412','','Y','Y'
'I','00A900','Ventus','ZS-GPT','PT','Y','Y'
'F','00A98C','Discus','D-KAMR','MR','Y','Y'
'I','00B2E7','DV20 Katana','ZS-TGO','TGO','Y','Y'
'O','00BE02','Ventus','OK5512','ZV','Y','Y'
'O','00C5AF','Helicopter','1754230','_51','Y','Y'
'F','00C6F6','DG-808 B','D-KCBS','PW','Y','Y'
'F','00C94D','Apis 2','F-JDYM','FM','Y','Y'
'O','00DA53','Experimental','OK-1260','KMO','Y','Y'
'I','00DC00','EC 135','LN-OUK','NLA','Y','Y'
'F','00DDDB','ASG-29E','D-KUBA','W','Y','Y'
'O','00DE0A','ASW-19','LY-GUD','81','Y','Y'
'F','00DEFF','ASK-21','D-7070','','Y','Y'
'F','00DFFF','ASK-21','D-7070','','Y','Y'
'F','00F000','Apis 2','F-JRVC','79','Y','Y'
'F','00F8D7','ASW-15','OM-1615','TZ','Y','Y'
'F','00FFFF','ASK-21','S5-7503','21','Y','Y'
'F','010129','Ground Station','KGMo','','Y','Y'
'F','01013F','Ground Station','AIRFN','AFN','Y','Y'
'F','010140','Ground Station','LP_KULM','KLP','Y','Y'
'F','010144','Ground Station','SP_KULM','SPK','Y','Y'
'F','010217','Swift','D-9905','NH','Y','Y'
'F','01103A','HangGlider','HoHuene','HoH','Y','Y'
'F','0110B1','Balloon','PH-PGO','PGO','Y','Y'
'F','011288','Paraglider','TomDon','DON','Y','Y'
'O','011292','Paraglider','','','Y','Y'
'F','01133A','Paraglider','','','Y','Y'
'O','011821','VT-116 Orlik II','OK6430','T','Y','Y'
